"tags","year_appeared","total_count"
".bash-profile","2009",253
".htaccess","2008",24698
".htpasswd","2008",190
".net","2008",141251
".net-1.1","2008",229
".net-2.0","2008",1556
".net-3.5","2008",3616
".net-4.0","2008",5207
".net-4.5","2011",1987
".net-4.6","2014",179
".net-assembly","2008",1299
".net-core","2011",4613
".net-core-2.0","2017",150
".net-framework-version","2008",204
".net-standard","2015",458
".net-standard-2.0","2017",136
"16-bit","2008",121
"2d","2008",1748
"2d-games","2008",254
"3-tier","2009",147
"32-bit","2008",447
"32bit-64bit","2008",1000
"3d","2008",4893
"3dsmax","2008",170
"3dtouch","2015",162
"3g","2010",219
"7zip","2008",369
"8051","2008",158
"a-star","2008",293
"aac","2008",228
"aapt","2010",198
"aar","2013",280
"abaddressbook","2009",425
"abap","2008",838
"abaqus","2014",69
"abi","2008",229
"abort","2008",215
"absolute","2008",386
"absolute-path","2008",299
"abstract","2008",740
"abstract-class","2008",1758
"abstract-data-type","2008",126
"abstract-syntax-tree","2008",882
"abstraction","2008",456
"accelerometer","2008",874
"acceptance-testing","2008",285
"access","2011",563
"access-control","2008",476
"access-denied","2008",315
"access-modifiers","2008",411
"access-token","2010",987
"access-vba","2008",3687
"access-violation","2008",502
"accessibility","2008",2021
"accessibilityservice","2012",144
"accessor","2008",311
"accordion","2008",1250
"account","2008",326
"accountmanager","2010",249
"ace-editor","2011",449
"achartengine","2010",491
"acl","2008",1094
"acrobat","2008",440
"acs","2011",191
"action","2008",1561
"action-filter","2009",293
"actionbarsherlock","2011",1674
"actioncable","2015",258
"actioncontroller","2009",210
"actionlink","2008",286
"actionlistener","2008",840
"actionmailer","2008",1107
"actionresult","2008",147
"actions-on-google","2016",480
"actionscript","2008",3642
"actionscript-2","2008",806
"actionscript-3","2008",16970
"actionview","2008",225
"active-directory","2008",4961
"active-model-serializers","2012",327
"activeadmin","2011",1611
"activemodel","2010",346
"activemq","2008",1984
"activerecord","2008",12998
"activeresource","2008",176
"activesupport","2008",272
"activex","2008",1569
"activexobject","2009",158
"activiti","2011",451
"activity-lifecycle","2010",249
"actor","2009",787
"acts-as-taggable-on","2010",216
"acumatica","2013",654
"ad-hoc-distribution","2010",249
"ada","2008",582
"adal","2014",485
"adapter","2008",1628
"adb","2009",2211
"add","2008",901
"add-in","2008",1067
"add-on","2008",277
"addclass","2008",483
"addeventlistener","2008",723
"addition","2008",302
"addressbook","2009",429
"addsubview","2009",197
"addthis","2009",213
"adfs","2008",551
"adfs2.0","2010",243
"adhoc","2008",237
"adjacency-list","2009",148
"adjacency-matrix","2010",146
"admin","2008",1451
"admin-on-rest","2016",201
"administration","2008",276
"administrator","2008",235
"admob","2009",2505
"ado","2008",987
"ado.net","2008",4248
"ado.net-entity-data-model","2008",260
"adobe","2008",1985
"adobe-analytics","2010",248
"adobe-brackets","2012",204
"adobe-illustrator","2008",269
"adobe-indesign","2010",87
"adodb","2008",556
"ads","2009",740
"adsense","2009",578
"adt","2009",1089
"advanced-custom-fields","2013",871
"advantage-database-server","2008",144
"advertising","2008",328
"aem","2013",1215
"aerospike","2013",247
"aes","2008",1922
"affinetransform","2009",187
"afnetworking","2011",1707
"afnetworking-2","2013",633
"aforge","2009",232
"aframe","2016",513
"after-effects","2008",118
"ag-grid","2015",511
"agda","2010",189
