"tags","year_appeared"
".bash-profile","2009"
".htaccess","2008"
".htpasswd","2008"
".net","2008"
".net-1.1","2008"
".net-2.0","2008"
".net-3.5","2008"
".net-4.0","2008"
".net-4.5","2011"
".net-4.6","2014"
".net-assembly","2008"
".net-core","2011"
".net-core-2.0","2017"
".net-framework-version","2008"
".net-standard","2015"
".net-standard-2.0","2017"
"16-bit","2008"
"2d","2008"
"2d-games","2008"
"3-tier","2009"
"32-bit","2008"
"32bit-64bit","2008"
"3d","2008"
"3dsmax","2008"
"3dtouch","2015"
"3g","2010"
"7zip","2008"
"8051","2008"
"a-star","2008"
"aac","2008"
"aapt","2010"
"aar","2013"
"abaddressbook","2009"
"abap","2008"
"abaqus","2014"
"abi","2008"
"abort","2008"
"absolute","2008"
"absolute-path","2008"
"abstract","2008"
"abstract-class","2008"
"abstract-data-type","2008"
"abstract-syntax-tree","2008"
"abstraction","2008"
"accelerometer","2008"
"acceptance-testing","2008"
"access","2011"
"access-control","2008"
"access-denied","2008"
"access-modifiers","2008"
"access-token","2010"
"access-vba","2008"
"access-violation","2008"
"accessibility","2008"
"accessibilityservice","2012"
"accessor","2008"
"accordion","2008"
"account","2008"
"accountmanager","2010"
"ace-editor","2011"
"achartengine","2010"
"acl","2008"
"acrobat","2008"
"acs","2011"
"action","2008"
"action-filter","2009"
"actionbarsherlock","2011"
"actioncable","2015"
"actioncontroller","2009"
"actionlink","2008"
"actionlistener","2008"
"actionmailer","2008"
"actionresult","2008"
"actions-on-google","2016"
"actionscript","2008"
"actionscript-2","2008"
"actionscript-3","2008"
"actionview","2008"
"active-directory","2008"
"active-model-serializers","2012"
"activeadmin","2011"
"activemodel","2010"
"activemq","2008"
"activerecord","2008"
"activeresource","2008"
"activesupport","2008"
"activex","2008"
"activexobject","2009"
"activiti","2011"
"activity-lifecycle","2010"
"actor","2009"
"acts-as-taggable-on","2010"
"acumatica","2013"
"ad-hoc-distribution","2010"
"ada","2008"
"adal","2014"
"adapter","2008"
"adb","2009"
"add","2008"
"add-in","2008"
"add-on","2008"
"addclass","2008"
"addeventlistener","2008"
"addition","2008"
"addressbook","2009"
"addsubview","2009"
"addthis","2009"
"adfs","2008"
"adfs2.0","2010"
"adhoc","2008"
"adjacency-list","2009"
"adjacency-matrix","2010"
"admin","2008"
"admin-on-rest","2016"
"administration","2008"
"administrator","2008"
"admob","2009"
"ado","2008"
"ado.net","2008"
"ado.net-entity-data-model","2008"
"adobe","2008"
"adobe-analytics","2010"
"adobe-brackets","2012"
"adobe-illustrator","2008"
"adobe-indesign","2010"
"adodb","2008"
"ads","2009"
"adsense","2009"
"adt","2009"
"advanced-custom-fields","2013"
"advantage-database-server","2008"
"advertising","2008"
"aem","2013"
"aerospike","2013"
"aes","2008"
"affinetransform","2009"
"afnetworking","2011"
"afnetworking-2","2013"
"aforge","2009"
"aframe","2016"
"after-effects","2008"
"ag-grid","2015"
"agda","2010"
"agent","2008"
"aggregate","2008"
"aggregate-functions","2008"
"aggregateroot","2008"
"aggregation","2008"
"aggregation-framework","2010"
"agile","2008"
"aidl","2009"
"aiohttp","2014"
"air","2008"
"airflow","2015"
"airflow-scheduler","2017"
"airplay","2011"
"aix","2008"
"ajax","2008"
"ajax4jsf","2009"
"ajaxcontroltoolkit","2008"
"ajaxform","2009"
"akka","2009"
"akka-cluster","2011"
"akka-http","2014"
"akka-stream","2014"
"akka.net","2014"
"alamofire","2014"
"alarm","2009"
"alarmmanager","2009"
"alassetslibrary","2010"
"alembic","2012"
"alert","2008"
"alertdialog","2009"
"alexa","2009"
"alexa-skill","2015"
"alexa-skills-kit","2015"
"alfresco","2008"
"alfresco-share","2012"
"algebra","2008"
"algebraic-data-types","2008"
"algolia","2013"
"algorithm","2008"
"algorithmic-trading","2008"
"alias","2008"
"alignment","2008"
"allegro","2008"
"allocation","2008"
"allocator","2009"
"alloy","2010"
